,Comparison,Correlation,P_value,Cancer Type
2967,FGD3_proteomics,-0.36424051326204687,0.003291764767407255,Kidney
8559,TKT_proteomics,-0.36413005479117166,0.003296977911106052,Kidney
8938,TSR1_proteomics,0.36392024352224567,0.003317944798378545,Kidney
7633,SIGIRR_proteomics,-0.3631945866415711,0.0034222104199973084,Kidney
673,ASL_proteomics,0.36268241281354946,0.0034874583720467863,Kidney
303,AKR1C3_proteomics,0.36264441599065933,0.0034874583720467863,Kidney
2117,DDB2_proteomics,0.362470937359665,0.0035035981399779187,Kidney
9269,VBP1_proteomics,0.36177388130536303,0.0036083979304752456,Kidney
4197,KIF1B_proteomics,0.3748215182765523,0.0036123039074561136,Kidney
4198,KIF1B_proteomics,0.3748215182765523,0.0036123039074561136,Kidney
8154,STAT6_proteomics,0.36138889496287246,0.0036354576086501467,Kidney
6479,PRKAR2B_proteomics,-0.3612850861335267,0.003640369242423918,Kidney
6230,PLXNB2_proteomics,0.3607694580828442,0.0037170190506511758,Kidney
921,BNIP3_proteomics,0.360572963822919,0.0037384291209880574,Kidney
4179,KIAA1107_proteomics,0.36042589771963773,0.003751224505570296,Kidney
8837,TRAPPC4_proteomics,-0.3600683038761979,0.0038016614144440204,Kidney
5316,NDUFA12_proteomics,-0.35977883115754644,0.003840405389185433,Kidney
6404,PPP1R3G_proteomics,0.3595762447058594,0.0038637080174277892,Kidney
2915,FBXO17_proteomics,0.3591625850772946,0.003925950851691197,Kidney
6064,PHYHD1_proteomics,-0.35893575507085185,0.003954292499810084,Kidney
5353,NDUFS3_proteomics,-0.3585902988555222,0.004005089857972997,Kidney
2974,FGFR1OP2_proteomics,-0.35850420379696923,0.004007480755175476,Kidney
8191,STRBP_proteomics,-0.3581534935961332,0.004059963153666692,Kidney
4003,IRF2_proteomics,-0.35780714554980597,0.004112263214183246,Kidney
8732,TNK1_proteomics,0.3776799130349505,0.004162571404652022,Kidney
1124,CAB39_proteomics,-0.357286756850771,0.004184989410807227,Kidney
7036,RHPN2_proteomics,0.355743809226446,0.004481790896017179,Kidney
6233,PM20D2_proteomics,0.3554231883658879,0.004533731043288924,Kidney
533,APTX_proteomics,-0.3553185990792588,0.004540510292388069,Kidney
7508,SERF2_proteomics,-0.35498017525090914,0.004596931485555267,Kidney
1538,CHD3_proteomics,-0.35486236523644765,0.004606697693995367,Kidney
3842,ICAM1_proteomics,0.354766890442215,0.004611751423476791,Kidney
861,BCKDK_proteomics,0.35468735151437697,0.004613448638008372,Kidney
1325,CD151_proteomics,0.35443586985020137,0.004652075996592143,Kidney
1316,CCT4_proteomics,0.3543138197139176,0.004663033260512468,Kidney
201,ADH1C_proteomics,-0.35424114976509724,0.004663394227358798,Kidney
6893,RBKS_proteomics,0.3540395447400728,0.0046916841326721335,Kidney
4141,KCTD9_proteomics,0.35348116335831603,0.004747453341171715,Kidney
8978,TTLL12_proteomics,0.3534088475419026,0.004747453341171715,Kidney
