,Comparison,Correlation,P_value,Cancer Type
8946,TBXAS1_proteomics,-0.3694256012711927,7.710002466699997e-05,Hnscc
3692,GSDME_proteomics,0.3693651281843372,7.732503121646765e-05,Hnscc
6685,PLXNB2_proteomics,0.3692881472803162,7.761234506733732e-05,Hnscc
8673,STAB1_proteomics,-0.36908121908401414,7.838959755845973e-05,Hnscc
2663,EFNB1_proteomics,0.36829328925921,8.141606864296239e-05,Hnscc
6327,PCSK9_proteomics,0.3779069750762134,8.302066988401692e-05,Hnscc
4159,IGSF3_proteomics,0.3677938167876182,8.339057448009964e-05,Hnscc
6638,PLEKHA6_proteomics,-0.36766937967942925,8.38893917731245e-05,Hnscc
1454,CD79A_proteomics,-0.36669286722460054,8.790142207113343e-05,Hnscc
6698,PMVK_proteomics,0.3663520491686926,8.934325015212223e-05,Hnscc
3190,FGF1_proteomics,0.36584032019033835,9.154952528390441e-05,Hnscc
1436,CD3G_proteomics,-0.38103218224103175,9.190454909419046e-05,Hnscc
1121,C2CD2L_proteomics,-0.3654675970486992,9.318830472766625e-05,Hnscc
3240,FLI1_proteomics,-0.3654210967946806,9.339466116399976e-05,Hnscc
4746,LIN7A_proteomics,-0.5238465535331185,9.457405614419512e-05,Hnscc
3254,FMNL1_proteomics,-0.3651388094817941,9.465653944207452e-05,Hnscc
2232,DARS_proteomics,0.36488687324502306,9.579612816224052e-05,Hnscc
2975,FAHD1_proteomics,0.36453428511867925,9.74124524624955e-05,Hnscc
6328,PCTP_proteomics,-0.36446615461589704,9.772768589444729e-05,Hnscc
9027,TFF3_proteomics,-0.37610831720599225,9.789851433874758e-05,Hnscc
2281,DDAH1_proteomics,-0.3638021486830243,0.00010085008928566904,Hnscc
5257,MLPH_proteomics,-0.3636902223842212,0.00010138546302971812,Hnscc
5643,NADK_proteomics,-0.36354086323431667,0.00010210400794112096,Hnscc
1181,CA5B_proteomics,-0.3634120194667916,0.00010272766025559775,Hnscc
8681,STAP1_proteomics,-0.536074027586165,0.0001029213035008475,Hnscc
8693,STAT5A_proteomics,-0.3625957253311337,0.00010676192199546281,Hnscc
3388,GAN_proteomics,0.3625401441755228,0.0001070419030519638,Hnscc
5030,MAST3_proteomics,-0.3689041824813554,0.00010776843688935907,Hnscc
8878,TANC2_proteomics,0.3620576467984281,0.00010950126386836358,Hnscc
8231,SLC16A1_proteomics,0.3619935072346706,0.00010983212158126784,Hnscc
6481,PHF1_proteomics,-0.36197096201772044,0.00010994863956250106,Hnscc
7652,RPL10_proteomics,0.3618252727126287,0.00011070436578518761,Hnscc
1894,COL5A1_proteomics,0.3617761041136906,0.00011096050372329053,Hnscc
4249,IPCEF1_proteomics,-0.549443311516727,0.0001121352052861545,Hnscc
3486,GIMAP6_proteomics,-0.36119116805137874,0.00011405023361569558,Hnscc
3262,FN1_proteomics,0.36081326340286285,0.00011608872406770517,Hnscc
5946,NOTCH3_proteomics,0.36069647965614743,0.00011672549707562195,Hnscc
85,ACADM_proteomics,-0.3603746160271388,0.00011849733173496887,Hnscc
4716,LGALS9_proteomics,-0.36035775458671215,0.00011859083832109553,Hnscc
7517,RHOB_proteomics,0.3601335237744018,0.00011984086843715959,Hnscc
7975,SEC23B_proteomics,-0.3601120776132889,0.00011996106486030942,Hnscc
9482,TRMT5_proteomics,0.36000733001533325,0.00012054974152784607,Hnscc
5249,MLF1_proteomics,0.38818608489728684,0.00012064179904356546,Hnscc
5167,METTL7A_proteomics,-0.35948687668011414,0.00012351468533084386,Hnscc
10150,ZBTB20_proteomics,-0.3594769504655811,0.00012357188645718533,Hnscc
