,Comparison,Correlation,P_value,fdr_bh_p_val,Cancer Type
777,PTPRCAP_proteomics,-0.4948637768637183,3.742249317274189e-05,0.001906233017130175,Kidney
942,TBC1D13_proteomics,-0.3822829611001698,3.7676897411626384e-05,0.001906233017130175,Kidney
379,GPD1L_proteomics,-0.38218592617613373,3.786270409812296e-05,0.001906233017130175,Kidney
517,MAP3K7CL_proteomics,0.4910453524700379,3.792032285158975e-05,0.001906233017130175,Kidney
973,TMEM159_proteomics,0.3815584414711376,3.908509809979521e-05,0.0019546578441454283,Kidney
946,TBCA_proteomics,0.3811917924160885,3.981635497502194e-05,0.0019741709782535016,Kidney
20,ACTN4_proteomics,-0.38105831877856056,4.0085722811372896e-05,0.0019741709782535016,Kidney
19,ACTN4_proteomics,-0.38105831877856056,4.0085722811372896e-05,0.0019741709782535016,Kidney
586,NDUFA13_proteomics,-0.3796411999038003,4.3052761866501555e-05,0.002100332373517372,Kidney
395,H6PD_proteomics,0.3796135927972575,4.3112552320425916e-05,0.002100332373517372,Kidney
255,DMXL2_proteomics,-0.37952870092449226,4.3296894939545905e-05,0.002100332373517372,Kidney
851,SEPT6_proteomics,-0.3790389139863016,4.4374943849005536e-05,0.0021297132295705233,Kidney
935,SUOX_proteomics,-0.3789816761155964,4.45025528753754e-05,0.0021297132295705233,Kidney
74,ANXA6_proteomics,-0.3788574848666766,4.478061212455027e-05,0.0021297132295705233,Kidney
73,ANXA6_proteomics,-0.3788574848666766,4.478061212455027e-05,0.0021297132295705233,Kidney
735,POLR1E_proteomics,0.3787397020644232,4.504582336480364e-05,0.002131875991635731,Kidney
1003,TRIM55_proteomics,0.4413679653215082,4.6697149497357524e-05,0.0021992997302104984,Kidney
181,CETN3_proteomics,0.3775227854940477,4.787327646767631e-05,0.002226439861785864,Kidney
1073,YDJC_proteomics,0.3911674606686435,4.800786999498828e-05,0.002226439861785864,Kidney
607,NDUFS5_proteomics,-0.3774090872154351,4.814575504451913e-05,0.002226439861785864,Kidney
226,CYB5R3_proteomics,0.37723810341941705,4.85582490924835e-05,0.002226439861785864,Kidney
902,SNX18_proteomics,-0.3771883630992352,4.867886515483286e-05,0.002226439861785864,Kidney
137,BRIX1_proteomics,0.3771419296205561,4.8791715075476345e-05,0.002226439861785864,Kidney
881,SLC2A3_proteomics,0.3771057611596619,4.887978669968965e-05,0.002226439861785864,Kidney
906,SNX6_proteomics,-0.3763416733375697,5.077545793341071e-05,0.0023019789386446296,Kidney
1036,UQCR11_proteomics,-0.3971770856312512,5.137464814366268e-05,0.002318310866464257,Kidney
656,PARD3B_proteomics,-0.37571524524158917,5.23806186045135e-05,0.0023527627856527317,Kidney
537,MKRN2_proteomics,-0.374914546552907,5.450138812237949e-05,0.002436739481858644,Kidney
169,CCT8_proteomics,0.37462100054816455,5.5298781975602324e-05,0.0024610494620518064,Kidney
592,NDUFA7_proteomics,-0.37418714646403767,5.6497285630625724e-05,0.002502907146978679,Kidney
683,PFDN5_proteomics,0.3740763737505586,5.6807154750528317e-05,0.002505195524498299,Kidney
1041,UQCRQ_proteomics,-0.3735800109505546,5.821524060299726e-05,0.002552878793795262,Kidney
787,RAB39A_proteomics,0.3868968422862116,5.8966627083711236e-05,0.002552878793795262,Kidney
558,MYL6B_proteomics,0.3733072929476111,5.9002694368369926e-05,0.002552878793795262,Kidney
26,ADA2_proteomics,-0.3732390479518142,5.9201296722883004e-05,0.002552878793795262,Kidney
275,EFNA1_proteomics,0.37308274386325946,5.9658517330150225e-05,0.002552878793795262,Kidney
51,ALDH16A1_proteomics,-0.37307603582034093,5.9678213276953234e-05,0.002552878793795262,Kidney
543,MPP7_proteomics,-0.37296955048658226,5.9991686406582197e-05,0.002552878793795262,Kidney
793,RABGGTB_proteomics,0.3729689559086916,5.9993441041570784e-05,0.002552878793795262,Kidney
439,IFT81_proteomics,0.371808731951722,6.35101048970237e-05,0.0026907206886939913,Kidney
296,ENO1_proteomics,0.371415626532341,6.47446101099753e-05,0.002731096553421654,Kidney
594,NDUFA9_proteomics,-0.3712303758755275,6.533409974677622e-05,0.0027440321893646017,Kidney
322,FBP1_proteomics,-0.3710154638825103,6.60242493518514e-05,0.00276106580694682,Kidney
502,LRRC40_proteomics,0.3703127767137431,6.832857158865033e-05,0.002845166530270753,Kidney
386,GRB14_proteomics,-0.3701074646295901,6.901588301836187e-05,0.002849829425525984,Kidney
398,HACL1_proteomics,-0.3700680036694944,6.914872087062905e-05,0.002849829425525984,Kidney
4,ABCB6_proteomics,0.3700167055076049,6.932176297919318e-05,0.002849829425525984,Kidney
567,N4BP1_proteomics,-0.36992381581068556,6.963613257146583e-05,0.0028506740852673484,Kidney
199,CMIP_proteomics,0.36947639118517217,7.116908188996867e-05,0.0028819385965254806,Kidney
562,MYO9A_proteomics,0.3694564860706743,7.123800584646123e-05,0.0028819385965254806,Kidney
264,DPH2_proteomics,0.36936355398782583,7.156061943238748e-05,0.0028819385965254806,Kidney
417,HOOK1_proteomics,0.3693058401998746,7.176165807184029e-05,0.0028819385965254806,Kidney
534,MID1_proteomics,0.3692587364155684,7.192612835748147e-05,0.0028819385965254806,Kidney
808,REEP6_proteomics,-0.3691856162360081,7.21821355344972e-05,0.0028819385965254806,Kidney
279,EGLN1_proteomics,0.36900295161416896,7.282539569588455e-05,0.0028957048731207864,Kidney
163,CCDC9B_proteomics,-0.36889984370156387,7.319085031134784e-05,0.0028983576723293747,Kidney
761,PRKCD_proteomics,-0.36877422662756365,7.363839699432057e-05,0.0029042265351174722,Kidney
1043,UTP25_proteomics,0.36864290830254776,7.410898327982428e-05,0.0029083624366118936,Kidney
123,BAG2_proteomics,-0.36857794890806905,7.434280398678104e-05,0.0029083624366118936,Kidney
610,NDUFV1_proteomics,-0.3682057559768551,7.569582409892602e-05,0.002949401146215985,Kidney
120,ATP6V1H_proteomics,-0.3679221579585842,7.674215132082281e-05,0.0029782094084584913,Kidney
1001,TRAPPC8_proteomics,-0.36761191443548347,7.790222040829197e-05,0.0029949616047945556,Kidney
429,HYI_proteomics,0.3675594212683761,7.81001134231044e-05,0.0029949616047945556,Kidney
525,MBP_proteomics,-0.3675391045313474,7.817683081077526e-05,0.0029949616047945556,Kidney
1030,UBXN2A_proteomics,-0.3808789970801559,7.840860107378036e-05,0.0029949616047945556,Kidney
288,EIF4H_proteomics,0.3670563509753628,8.002053718691666e-05,0.003044546085441041,Kidney
945,TBC1D9B_proteomics,0.36611840769269177,8.371908297374998e-05,0.003170158836795374,Kidney
368,GLUL_proteomics,-0.3659704656180208,8.431679532140189e-05,0.003170158836795374,Kidney
1054,WDR1_proteomics,-0.36596035255276177,8.435779874437275e-05,0.003170158836795374,Kidney
165,CCT2_proteomics,0.3658935639785237,8.462905985673077e-05,0.003170158836795374,Kidney
850,SEPT10_proteomics,0.3658117262113822,8.496255107715967e-05,0.003170410271348474,Kidney
116,ATP6V1E1_proteomics,-0.36570045590618017,8.541794501690536e-05,0.00317205907542639,Kidney
577,NBEA_proteomics,0.36561045495428623,8.5787952692825e-05,0.00317205907542639,Kidney
343,FUK_proteomics,0.3655620466401212,8.598758367729752e-05,0.00317205907542639,Kidney
527,MCRIP1_proteomics,-0.3652931525689616,8.710437662305613e-05,0.003201085840897313,Kidney
951,TCEA3_proteomics,0.3652004502539362,8.749251714978069e-05,0.0032032166090081972,Kidney
304,EPS15_proteomics,-0.3650181446849491,8.826052638968409e-05,0.0032144965693617607,Kidney
238,DCTPP1_proteomics,0.3649702666204092,8.846326365899712e-05,0.0032144965693617607,Kidney
954,TCP1_proteomics,0.3648213873093492,8.90964605278824e-05,0.0032254248509011756,Kidney
43,AHSA1_proteomics,-0.36440671301154454,9.088243013436345e-05,0.0032778488370393834,Kidney
330,FGD3_proteomics,-0.36424051326204687,9.160755382394958e-05,0.003291764767407255,Kidney
964,TKT_proteomics,-0.36413005479117166,9.209245659758195e-05,0.003296977911106052,Kidney
1010,TSR1_proteomics,0.36392024352224567,9.302009741898209e-05,0.003317944798378545,Kidney
867,SIGIRR_proteomics,-0.3631945866415711,9.629596419905847e-05,0.0034222104199973084,Kidney
104,ASL_proteomics,0.36268241281354946,9.867240183723617e-05,0.0034874583720467863,Kidney
50,AKR1C3_proteomics,0.36264441599065933,9.885086088567989e-05,0.0034874583720467863,Kidney
241,DDB2_proteomics,0.362470937359665,9.966945852751036e-05,0.0035035981399779187,Kidney
1045,VBP1_proteomics,0.36177388130536303,0.0001030226991075699,0.0036083979304752456,Kidney
474,KIF1B_proteomics,0.3748215182765523,0.00010387886932387711,0.0036123039074561136,Kidney
475,KIF1B_proteomics,0.3748215182765523,0.00010387886932387711,0.0036123039074561136,Kidney
921,STAT6_proteomics,0.36138889496287246,0.00010491941150505474,0.0036354576086501467,Kidney
759,PRKAR2B_proteomics,-0.3612850861335267,0.00010543637983107821,0.003640369242423918,Kidney
725,PLXNB2_proteomics,0.3607694580828442,0.00010803951476846337,0.0037170190506511758,Kidney
134,BNIP3_proteomics,0.360572963822919,0.0001090471491692043,0.0037384291209880574,Kidney
470,KIAA1107_proteomics,0.36042589771963773,0.00010980702531250918,0.003751224505570296,Kidney
