Proteomics,P_Value,Medians,Cancer,size
FCGR2A,0.14384346543678558,0.36350000000000005,Luad,0.19390296162465837
SND1,0.14492220712664378,0.028349999999999986,Luad,0.19315581831054351
NPC2,0.14713216891052136,-1.11215,Luad,0.19164239879242556
SLC17A5,0.1486972799655286,0.1175,Luad,0.19058427177779597
CCDC12,0.14960193704860242,0.3516,Luad,0.1899777265339742
TWF1,0.15010292068734707,0.4515,Luad,0.18964340822552345
PNPLA2,0.15018195802686266,0.4408,Luad,0.1895907666528414
ART4,0.15081494856810204,0.9057999999999999,Luad,0.18917016998854902
MON1B,0.1540391484969197,0.3474,Luad,0.1870548497855695
ATAD2,0.15459121394511274,-0.22565,Luad,0.186697097532918
MCM3,0.15492348839862888,-0.9383,Luad,0.18648239071695993
NFIC,0.15556607596862768,-0.30269999999999997,Luad,0.18606847117750025
NOP56,0.1589059486630736,0.20709999999999995,Luad,0.1839442769619909
CHTF8,0.1599683426644148,0.39725,Luad,0.1832779341672263
STX4,0.1602760172470314,0.1812,Luad,0.18308578422437202
POMT1,0.16063701102110786,-1.1874,Luad,0.182860804934319
PLS1,0.16115398391822217,0.59735,Luad,0.18253949492253246
PACS2,0.1611698699596564,-0.9789000000000001,Luad,0.1825296377299878
ZC3H15,0.16127354984420847,0.3142499999999999,Luad,0.18246532884243888
SYNPO2,0.16344682633791538,0.5795499999999998,Luad,0.18112675627155336
DCUN1D1,0.16356306413008995,0.40045000000000003,Luad,0.18105566496792108
MAK16,0.1646867514387249,0.35345,Luad,0.18037100856003915
HTATIP2,0.16517884804664418,-0.73605,Luad,0.18007264645514529
TEAD1,0.16595026552168365,-0.25805,Luad,0.17960671408072879
RFX2,0.16668000517043474,-0.83205,Luad,0.1791679441407758
NAPG,0.16729038498673185,-0.56115,Luad,0.1788024144328117
MSH6,0.16815038585271896,-0.16719999999999996,Luad,0.178289654610495
ANK3,0.1682194283992972,-0.39695000000000014,Luad,0.17824860303890772
CENPF,0.1695444723419882,-0.24605,Luad,0.17746400128765463
NUF2,0.17046071819071124,-1.6992,Luad,0.17692504006461793
MCM7,0.17123942512497783,-0.8647,Luad,0.17646925548415
NAMPT,0.1717183494304713,-0.6338,Luad,0.17618996476538543
TOPBP1,0.17276916271170098,-0.4061,Luad,0.17557988950669512
YIPF4,0.17536326193982513,0.31304999999999994,Luad,0.17408956740050638
PUS7,0.17597466109473067,-0.21395000000000003,Luad,0.17374152653614788
HIST1H1B,0.1767296267444415,1.5495999999999999,Luad,0.17331342467928382
MCM6,0.17695164120108892,-1.0908499999999999,Luad,0.17318787972911
DUS1L,0.17700679924866466,-0.34675,Luad,0.17315671333118368
CHCHD6,0.17817821254481825,-0.48374999999999996,Luad,0.17249710354785464
MGME1,0.1806064143179056,-0.21650000000000003,Luad,0.17114351219195145
TOP2A,0.18214936400063841,-0.8952000000000001,Luad,0.17029282471579343
UGT8,0.18265072540443003,0.8400500000000002,Luad,0.17001795541942288
ASTN2,0.18339485331171954,1.2224,Luad,0.16961137821941055
CSF2RA,0.1845762991794388,0.5453,Luad,0.16896923552999904
MCM2,0.18631618561116026,-1.2664,Luad,0.1680310125861423
MAFF,0.18760654395099566,-0.2822,Luad,0.1673408360550398
ARRB1,0.18924420328336256,-0.04349999999999987,Luad,0.16647170170762873
RWDD4,0.18984428753486646,-0.24170000000000003,Luad,0.16615510821177443
ZDHHC20,0.1927147650459339,0.39225000000000004,Luad,0.16465440845670076
CDCA7L,0.1935730033503473,-1.0747,Luad,0.1642100559367493
PRMT1,0.1967847855147274,0.3353499999999999,Luad,0.1625644606728893
HNRNPD,0.19775684800784157,-0.5092,Luad,0.16207170433115048
CNDP1,0.1977969167445253,0.41235,Luad,0.1620514447657557
DPCD,0.19915661543359595,0.3824,Luad,0.1613663751560251
ADAP1,0.199868697179205,0.39440000000000003,Luad,0.16100946421378276
HNRNPA1L2,0.2029604828184245,0.24325,Luad,0.159474398480931
ADAMTS4,0.20603759474568142,0.88465,Luad,0.15796966280779862
ZMYM2,0.20806505501718608,0.15639999999999998,Luad,0.15699044836757386
GTPBP3,0.20965613393714289,-0.41935,Luad,0.1562286547805569
PTDSS1,0.2120672951956362,0.33175,Luad,0.1550851624512326
SLC25A19,0.2127154442428597,0.4975,Luad,0.15477999489612765
RRP1,0.21343374345930238,0.09425,Luad,0.15444288295625902
SCPEP1,0.21397489246465068,-0.7570999999999999,Luad,0.15418965957749325
AKT2,0.2153550622667259,-0.0509,Luad,0.15354671605991427
RPS6KA1,0.2154252848686121,-0.34119999999999995,Luad,0.1535141135500852
FNIP2,0.2184217084073564,-0.47390000000000004,Luad,0.15213276425814076
LDB3,0.21959784630664556,0.8658999999999999,Luad,0.1515957376741641
GUCY1A1,0.22229048954485514,-0.6490499999999999,Luad,0.1503770241001591
DNAJA4,0.22305722084838978,0.2601,Luad,0.15003269447043832
DOCK3,0.22441748879228615,-0.28725,Luad,0.14942471725759304
PPDPF,0.22476731289749174,-0.9793,Luad,0.1492689576795239
SH3BGRL2,0.2252086384773779,-0.5653,Luad,0.14907280243165136
MTSS1,0.22615821450159984,0.24344999999999994,Luad,0.1486520460474094
CHSY1,0.22623351795109609,0.4491,Luad,0.1486187547890641
DDX56,0.2265927599028353,-0.11430000000000001,Luad,0.14846008819011675
PLEKHA8,0.23124140247310992,0.50115,Luad,0.14642930817753996
TXNRD1,0.2320371024314306,0.6568,Luad,0.14608579958289428
KIF4A,0.23373478078617957,-0.57545,Luad,0.14535682218691498
ANP32E,0.23421790669961898,-0.50735,Luad,0.14515033717335943
DNAJC6,0.2367890765491182,0.6572500000000001,Luad,0.14405855064741271
HNRNPA1,0.23828957197144038,-0.3831,Luad,0.14342686559212176
TP53,0.23921259175265527,-2.7678,Luad,0.14304026171847364
NR2F1,0.23960323294057959,0.5098999999999999,Luad,0.1428770919757668
CRYBG1,0.24099131699988785,-0.81135,Luad,0.14229943751866522
MCM5,0.24256375378087575,-0.82785,Luad,0.14164907009681454
PTPN18,0.2429955521503841,0.4092,Luad,0.14147121397169915
TTC14,0.24506423240865743,0.3357,Luad,0.14062349297022098
CD55,0.2466896055071945,-0.4758499999999999,Luad,0.1399624390476389
LY75-CD302,0.2476303481864276,0.25195,Luad,0.13958181762706465
CA8,0.24764924566040192,1.0101,Luad,0.13957418659432344
TOP3A,0.24862821619629208,0.9207,Luad,0.13917966059588704
RGS3,0.25055618411481884,-0.49470000000000003,Luad,0.13840720957224764
SORBS1,0.2528658556758022,0.10945000000000005,Luad,0.13748961455882966
HNRNPU,0.25372855744238954,1.6005,Luad,0.1371490254886784
ROR2,0.25567452493403436,-0.4045,Luad,0.13638500303771123
EFHD1,0.2585068744856543,-0.9292500000000001,Luad,0.13528329916323117
NT5C2,0.2591314002098726,0.18335,Luad,0.13504200092167057
DAAM2,0.25945125766063437,0.69035,Luad,0.13491864257697134
SIAE,0.2600092185836666,0.12564999999999998,Luad,0.13470381925041364
DDX39A,0.2602180378846018,-0.24330000000000002,Luad,0.13462353921527362
WDR35,0.26022967393350516,-0.37455000000000005,Luad,0.1346190676617857
UTP23,0.26098273677819966,0.4532,Luad,0.13433010164592246
TTC12,0.26223824746426194,0.54425,Luad,0.13385018469548685
AATF,0.26240640480349436,-0.3740500000000001,Luad,0.13378608136601847
CDK11B,0.26282377972140114,-0.2528999999999999,Luad,0.13362715104630057
MAGED2,0.2636495120992765,-0.4562,Luad,0.13331346635695684
FAM171A1,0.2642563951850215,0.65225,Luad,0.1330835453256816
GAPDH,0.2672039060609413,1.1301999999999999,Luad,0.13197432189349487
