Trans_Gene,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_colon,P_value_colon,Correlation_Lscc,P_value_Lscc
COL1A1,-0.4504654484371207,2.8895270750601026e-06,-0.11086918334010623,0.2488770036196563,0.2627734979654091,0.016394435020269903,0.128633524039961,0.17066486312873408,0.2314286010077233,0.014989283608561329,0.20815192942946026,0.029858313109190706,0.21245980269948425,0.036682885109233,-0.0408370498033903,0.6747572991965416
MYO10,0.4474781939588647,3.421652102638465e-06,-0.2639205653593605,0.005336656785400793,0.3741184352520944,0.0004937532069035246,0.5158009122647153,3.6494541056389578e-09,0.2308964693090361,0.015228954238698663,0.3706030282877606,7.283887441403778e-05,,,0.2924655107421276,0.0021300385499447893
FCGR3A,-0.44714792640110335,3.485855457407905e-06,0.016773690599649754,0.861923217735927,0.23516789419323705,0.03234661659978569,0.2551058431474817,0.008004745364345662,-0.04374963694739577,0.6499542179119966,-0.341007632865645,0.00028499430040139766,0.2158084267115475,0.15944459672484335,0.0445737599587856,0.6469080964399313
VAV1,-0.44714281575333015,3.4868578325968787e-06,-0.2856930653299403,0.002482501028357213,-0.09111221594481014,0.4126785762069939,0.04269889836850184,0.6504772895697679,-0.06320852069689371,0.5118112810043333,-0.43946391089850745,1.7459438233465169e-06,0.2175585999846512,0.036184723779152064,-0.18622896990352328,0.05363841270613156
MAN2B1,-0.4470946229040094,3.496323507772922e-06,-0.27908044093489703,0.0031523118571002693,-0.05226780209704665,0.6388682878855164,0.1433354203654722,0.12645992964498512,0.12633871761057502,0.18844551270873466,-0.267078893377065,0.004993918776428547,0.10475125238694023,0.3071983863932298,-0.019961529667236938,0.8375308408867892
HEXB,-0.4468664074316057,3.5414781316379724e-06,-0.16618377813871946,0.0827184063360384,-0.1725273048181199,0.1188351485809878,-0.06748434841509263,0.4736205085843204,0.04787166991954428,0.6194488188382531,-0.11051640661620676,0.2526106640888207,0.014762339167334175,0.8858833321318026,-0.12240543105333596,0.20694009508705968
IL18,-0.44685949345758735,3.542854679296972e-06,-0.21438897746941568,0.02450848962523289,-0.08426518368173118,0.4488112681695803,0.10187770238665043,0.27862941903860217,-0.0663213874785582,0.491202784981342,0.06356978553371365,0.5113730854676459,-0.0209442017753598,0.8386467982008782,0.14391180536866893,0.1373005262859198
B4GALT1,-0.44594460701449457,3.729527011232262e-06,-0.07149517437003408,0.4579465415037914,0.2615188253532682,0.016933999801772067,0.18242189533213932,0.05102230156911442,0.17969310328606353,0.06032257851262091,0.15198301481253915,0.11464939781832635,-0.048680595561828535,0.6358466849531347,0.09940638887439693,0.3060344150165437
GAA,-0.4458984482707353,3.7391868692414635e-06,-0.05501121144666817,0.5681324922798892,0.031044363265683723,0.7805475973202729,-0.20975034263612305,0.02445919058301938,0.07803613376917247,0.4177464855224641,-0.02274914687296635,0.8143637728470041,0.1339300677439131,0.19092106944254109,-0.021101156915330453,0.8283937587995372
RNASET2,-0.4446926822173949,4.000047119515243e-06,0.22104687560969166,0.02030518964056267,0.07269488993559785,0.5136899187403651,-0.22041495615496892,0.0179302875754891,-0.17543420723043754,0.06677353031337309,-0.3148212858831092,0.0008556331339743484,-0.09092080627470936,0.3757824920841226,-0.13771000981703496,0.15524333829986509
