Comparison,Correlation_Gbm
SP4_proteomics,0.303329499380952
CHST10_proteomics,0.3177040035461409
DLD_proteomics,0.3030460033382037
FGFR2_proteomics,0.3029193745437997
WDR77_proteomics,0.3024734312027345
LRFN3_proteomics,0.3023732614322234
LRRC4_proteomics,0.3023469673891964
FAM81A_proteomics,0.3023050364389958
VPS52_proteomics,0.3022306502947896
PBX1_proteomics,0.3021071907662022
RPS4Y2_proteomics,0.3180816280969064
SLC6A1_proteomics,0.30161338704835305
IPO9_proteomics,0.301431223692253
AMER2_proteomics,0.3013781361489501
ZNF219_proteomics,0.300994117761641
RPS4Y1_proteomics,0.30094156441716235
RNF11_proteomics,0.30019620137646663
GOLM1_proteomics,0.2998211024348876
IGSF3_proteomics,0.2997522272686096
PCIF1_proteomics,0.29952426998115145
EPM2A_proteomics,0.29926504504609863
HOPX_proteomics,0.2992083084230017
ZHX1_proteomics,0.2990166791195774
PRMT3_proteomics,0.2989888710754009
NOS2_proteomics,0.32776581471821153
GRIA3_proteomics,0.2989354736454166
ZFP1_proteomics,0.3724060593715167
SAFB2_proteomics,0.298551462694002
RAB11B_proteomics,0.2983169991384041
PARP2_proteomics,0.29795333308898864
CASKIN1_proteomics,0.2975048103440486
ATG2A_proteomics,0.2974665980936245
HAPLN1_proteomics,0.2974268998928981
ARHGEF4_proteomics,0.2973371075998593
BMPR2_proteomics,0.29730639756748645
SALL3_proteomics,0.29715817133628675
CACNG7_proteomics,0.30954200876762145
MT1M_proteomics,0.29700989998517224
ERF_proteomics,0.2968335451683024
MPPED2_proteomics,0.2968234389519704
OSBPL2_proteomics,0.2963814246008173
LZTS3_proteomics,0.29635184771284023
CDH10_proteomics,0.2962075447972487
ABAT_proteomics,0.2961569808725326
PER1_proteomics,0.31020004009835234
IPO7_proteomics,0.2957621681761982
PNMA2_proteomics,0.295495130476138
MARCKSL1_proteomics,0.2954189014135469
DNAL4_proteomics,0.2951511894234825
CNTFR_proteomics,0.2950356675722011
QKI_proteomics,0.2949106255050633
RFX2_proteomics,0.294883077980624
ERI3_proteomics,0.2947896210185367
ZSCAN18_proteomics,0.2944080217479328
CADM2_proteomics,0.2943624391186809
ADORA1_proteomics,0.2937006442720324
GJA1_proteomics,0.29338048297417985
PSPH_proteomics,0.29326647733080785
PI16_proteomics,0.2932220946791871
JMY_proteomics,0.2930269927187874
CREB5_proteomics,0.2927638742779176
EIF2AK2_proteomics,0.2926450799346112
SMYD5_proteomics,0.2917908405023582
ELP5_proteomics,0.29164822757143904
GCAT_proteomics,0.2914368305886692
S100A3_proteomics,0.2911884781863122
ABCD2_proteomics,0.2909813447560187
MTA1_proteomics,0.2908810244975608
LIN7B_proteomics,0.2906811450194555
N4BP2L2_proteomics,0.29042755820709965
MACROD1_proteomics,0.2903528631586205
LRP1_proteomics,0.29030562097649004
ALDH6A1_proteomics,0.28992387988245205
UHRF1_proteomics,0.2898082866317753
PRR36_proteomics,0.289800317921475
ERCC8_proteomics,0.28967591007694743
ZEB1_proteomics,0.2889017499153194
STRIP1_proteomics,0.2883948741327904
PAFAH1B3_proteomics,0.28796973101972234
FARSB_proteomics,0.28792034073252043
FAM3C_proteomics,0.28789743225709663
SCAI_proteomics,0.287576289547514
ZNF664_proteomics,0.2871988010219869
ART3_proteomics,0.2871917470630994
ATN1_proteomics,0.2871796383182485
ACBD7_proteomics,0.2868504142910654
PPP1CC_proteomics,0.2868052465634039
VPS53_proteomics,0.2867827345915
FLOT2_proteomics,0.2867657900218298
RASGRP2_proteomics,0.286755568136657
NR2F1_proteomics,0.2865263079428447
EPHA4_proteomics,0.286208690116085
GPM6A_proteomics,0.28598792075756885
DHPS_proteomics,0.2856810476526427
UPF3A_proteomics,0.2856539770029409
ZDHHC4_proteomics,0.2854563246504337
FARP1_proteomics,0.2852767310344714
CASTOR1_proteomics,0.28506194236912624
GABARAPL2_proteomics,0.28503425215129363
FADS2_proteomics,0.2844331591744484
TRAF4_proteomics,0.2843946704088646
MTMR1_proteomics,0.2843940835437781
ACOT1_proteomics,0.2842395677529649
DCPS_proteomics,0.28418700805795005
ZBTB16_proteomics,0.2841574790949915
CELSR2_proteomics,0.2839400253664521
CACHD1_proteomics,0.28372711609298484
CLDN12_proteomics,0.38140332755634704
PET117_proteomics,0.29728438039911864
PLCD3_proteomics,0.28346305054314475
SASH1_proteomics,0.2834528287783309
TJP1_proteomics,0.28332371598511363
RFTN2_proteomics,0.28311672528367976
FREM2_proteomics,0.28307437946256786
DUS3L_proteomics,0.28302346740618944
NCOR1_proteomics,0.28265256436797065
PRKRIP1_proteomics,0.2822765692932536
PTAR1_proteomics,0.2820407841882105
STK11_proteomics,0.2818803683110247
CRY2_proteomics,0.3272343051676575
FAM234A_proteomics,0.2816949192075539
ANKRD63_proteomics,0.3853414091260901
ARHGAP5_proteomics,0.281339411610862
CSE1L_proteomics,0.28123045459580764
XXYLT1_proteomics,0.2807468125730446
MAPT_proteomics,0.28034116707540024
TUBGCP3_proteomics,0.2802912241511619
ANGEL2_proteomics,0.28024014636890315
MMP2_proteomics,0.27992018449152833
HNRNPDL_proteomics,0.27963569462441984
CA8_proteomics,0.279280580713529
ZNF776_proteomics,0.37510428820031627
DDX3Y_proteomics,0.2786941897249181
GRIK5_proteomics,0.2919443537713826
GLUD1_proteomics,0.2782303239742205
ASPHD2_proteomics,0.2930469946762321
RIT2_proteomics,0.27787673158353565
MIOS_proteomics,0.27749839887710265
FDFT1_proteomics,0.2773390385112432
EFR3B_proteomics,0.2773151332069204
ARHGAP35_proteomics,0.276906099691382
RASGRP1_proteomics,0.27684680672608136
YWHAB_proteomics,0.2768376197984416
EXOG_proteomics,0.27673943208319274
BCAR3_proteomics,0.2765836875672773
ALDH5A1_proteomics,0.2764741657925369
